Anio,Mes,FECHA,Pais_Destino,Prod_Principal,TRADICIONAL_Y_NO_TRAD,Codigo_Subpartida,Suma_FOB_miles,Suma_TM_Peso_Neto
2016,10,01-oct-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,839754290.00,1481899815
2016,10,01-oct-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1631005589.00,3509795733
2016,10,01-oct-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,40823088.00,45486720
2016,10,01-oct-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,0.07,0.07
2016,11,01-nov-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,811455769.00,1428311343
2016,11,01-nov-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1792934708.00,3726856412
2016,11,01-nov-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,57050818.00,84138603
2016,12,01-dic-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1065192950.00,1877458546
2016,12,01-dic-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2460042837.00,5192729432
2016,12,01-dic-2016,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,454824692.00,733964380
2015,1,01-ene-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,4049892070.00,8747834283
2015,1,01-ene-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,31900116.00,40371691
2015,1,01-ene-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,2207320.00,3601523
2015,2,01-feb-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,3943664118.00,8088829752
2015,2,01-feb-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,36793581.00,45469718
2015,2,01-feb-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,4709506.00,8204520
2015,3,01-mar-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,3360175218.00,6949454915
2015,3,01-mar-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,35945620.00,42976092
2015,3,01-mar-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,4494800.00,7786308
2015,4,01-abr-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,3366848344.00,7091643529
2015,4,01-abr-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,41932141.00,49707383
2015,4,01-abr-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,4377100.00,7009156
2015,5,01-may-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,3674559360.00,7766630406
2015,5,01-may-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,45957357.00,54935894
2015,5,01-may-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,1603240.00,2047745
2015,6,01-jun-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,3339628454.00,7077597304
2015,6,01-jun-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,40785618.00,47171918
2015,6,01-jun-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,1048012.00,1195444
2015,7,01-jul-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,4338870456.00,9254583905
2015,7,01-jul-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,54793040.00,64898843
2015,7,01-jul-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,1379108.00,1517040
2015,8,01-ago-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,3070440636.00,6550858998
2015,8,01-ago-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,40467361.00,46521176
2015,8,01-ago-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,992682.00,1130754
2015,9,01-sep-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901100,2492986947.00,5241780074
2015,9,01-sep-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,39687953.00,45884341
2015,9,01-sep-2015,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,686968.00,753872
